,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,result
3407,d,3,d,7,g,6,twelve
3408,d,3,e,6,h,4,nine
3409,d,2,e,5,f,1,six
3410,b,1,g,6,c,8,thirteen
3411,d,3,f,4,a,4,nine
3412,d,2,c,7,b,1,five
3413,c,1,f,6,f,7,draw
3414,d,1,f,1,h,6,eleven
3415,b,1,b,8,e,4,fifteen
3416,b,2,f,6,e,2,fifteen
3417,a,1,b,5,h,6,fourteen
3418,b,2,h,3,g,4,draw
3419,c,1,f,8,g,8,draw
3420,c,2,b,6,f,5,fourteen
3421,c,2,e,8,d,7,draw
3422,b,1,d,8,g,1,nine
3423,b,1,e,6,g,3,fourteen
3424,d,1,b,2,f,7,fourteen
3425,d,1,g,3,a,5,thirteen
3426,c,2,h,8,c,8,twelve
3427,d,4,h,2,f,1,six
3428,c,1,e,4,g,7,eleven
3429,b,2,c,6,g,1,nine
3430,a,1,c,6,c,2,sixteen
3431,a,1,g,5,h,4,draw
3432,b,1,c,5,b,6,draw
3433,a,1,d,1,f,2,fifteen
3434,c,3,g,5,g,1,eleven
3435,b,2,h,4,e,1,ten
3436,c,1,e,4,a,3,five
3437,b,1,c,8,a,7,ten
3438,d,1,h,8,a,6,thirteen
3439,d,3,c,8,b,3,nine
3440,b,1,b,7,a,7,draw
3441,b,1,d,4,a,4,thirteen
3442,c,2,h,2,h,6,twelve
3443,b,1,b,5,f,7,thirteen
3444,d,1,f,1,a,8,twelve
3445,c,3,d,7,d,1,eight
3446,b,1,a,7,b,8,draw
3447,d,1,h,8,h,6,thirteen
3448,c,2,h,8,f,5,fourteen
3449,d,4,c,4,c,2,eight
3450,c,2,b,5,g,1,eight
3451,c,1,g,5,g,7,fourteen
3452,a,1,c,2,h,3,fourteen
3453,d,3,f,3,h,4,ten
3454,a,1,g,7,f,2,fifteen
3455,b,1,c,3,d,4,draw
3456,a,1,h,4,h,5,draw
3457,c,1,b,5,c,8,fourteen
3458,c,2,d,2,f,7,thirteen
3459,d,2,d,6,g,2,eight
3460,d,1,c,5,b,1,nine
3461,b,2,c,8,h,5,thirteen
3462,a,1,g,7,c,2,fourteen
3463,c,2,a,4,d,6,thirteen
3464,a,1,b,7,h,1,ten
3465,d,1,f,3,d,7,fourteen
3466,b,1,c,2,d,3,sixteen
3467,c,3,d,1,h,3,eleven
3468,d,3,c,2,g,7,twelve
3469,c,2,a,1,g,1,eight
3470,d,2,d,6,d,8,twelve
3471,d,3,b,4,g,8,eleven
3472,d,1,d,2,a,5,twelve
3473,b,1,f,3,b,8,twelve
3474,b,1,h,1,h,5,thirteen
3475,c,2,b,1,h,1,eight
3476,d,3,g,3,a,2,six
3477,c,3,f,7,f,2,twelve
3478,d,4,g,4,d,2,eight
3479,b,2,a,3,h,7,thirteen
3480,c,2,g,5,h,2,eight
3481,c,3,g,6,g,7,draw
3482,d,3,b,7,h,8,seven
3483,d,2,e,8,f,4,twelve
3484,b,1,b,4,b,3,draw
3485,d,3,g,6,c,5,twelve
3486,d,4,d,5,f,5,ten
3487,c,1,e,8,d,4,fourteen
3488,b,1,d,7,e,1,thirteen
3489,d,1,h,3,g,5,fourteen
3490,b,2,f,4,f,2,twelve
3491,b,2,h,6,h,1,twelve
3492,d,2,e,6,a,4,twelve
3493,c,3,e,6,e,4,thirteen
3494,a,1,b,1,e,5,fifteen
3495,c,2,g,4,a,5,eleven
3496,a,1,a,5,f,3,fourteen
3497,a,1,h,5,h,2,fourteen
3498,c,2,c,4,f,2,nine
3499,d,2,e,7,f,3,twelve
3500,c,3,e,3,f,6,eleven
3501,d,4,h,5,e,1,nine
3502,c,2,h,7,h,8,draw
3503,d,1,f,2,g,2,draw
3504,c,1,e,5,b,7,fourteen
3505,c,3,b,1,h,3,eleven
3506,c,1,b,3,h,2,seven
3507,d,2,h,7,e,6,thirteen
3508,d,3,f,1,a,6,ten
3509,d,4,c,7,d,1,eight
3510,b,1,e,4,b,3,thirteen
3511,d,2,c,6,h,2,eight
3512,d,4,h,2,h,1,draw
3513,d,4,e,2,f,4,eleven
3514,b,1,c,4,d,1,twelve
3515,c,2,c,8,h,8,thirteen
3516,d,2,h,2,c,7,thirteen
3517,c,3,g,1,h,4,eight
3518,d,4,f,2,g,6,nine
3519,c,1,h,8,e,2,twelve
3520,a,1,d,2,c,2,draw
3521,c,1,d,4,f,6,fifteen
3522,b,2,b,4,f,2,ten
3523,d,1,c,1,b,4,eleven
3524,d,2,d,4,b,1,four
3525,c,1,a,2,c,4,fourteen
3526,d,4,c,5,g,2,ten
3527,c,1,d,4,c,6,twelve
3528,d,1,g,4,h,1,five
3529,d,2,f,5,c,7,thirteen
3530,d,3,b,3,c,1,one
3531,c,2,f,2,b,8,eleven
3532,c,1,a,6,b,5,draw
3533,b,1,h,3,g,8,fourteen
3534,c,1,a,6,e,2,thirteen
3535,c,1,h,8,c,3,fourteen
3536,d,2,d,7,b,4,twelve
3537,c,2,b,6,e,8,twelve
3538,d,1,c,8,e,3,fourteen
3539,d,1,a,8,h,6,thirteen
3540,b,2,d,5,d,1,eleven
3541,b,1,h,4,f,1,ten
3542,d,1,f,4,e,5,draw
3543,b,1,c,7,c,6,draw
3544,b,1,c,8,e,4,fifteen
3545,c,1,c,4,f,8,fourteen
3546,b,1,f,2,h,7,twelve
3547,d,4,d,2,h,2,eight
3548,d,3,b,3,d,7,twelve
3549,d,3,f,3,c,1,four
3550,b,1,g,6,c,3,fifteen
3551,d,3,e,7,c,7,twelve
3552,d,3,g,3,h,3,draw
3553,d,3,h,4,b,2,five
3554,b,1,g,4,e,1,eleven
3555,d,4,d,2,f,5,eleven
3556,d,1,b,8,b,3,fourteen
3557,c,1,e,5,h,5,thirteen
3558,d,2,c,7,g,5,fourteen
3559,b,1,g,4,d,6,fourteen
3560,c,3,g,6,g,2,twelve
3561,d,2,c,1,f,5,thirteen
3562,b,1,f,7,c,6,fifteen
3563,d,3,g,1,h,7,six
3564,d,2,h,6,f,6,fourteen
3565,b,2,d,3,h,6,thirteen
3566,b,2,e,2,f,1,draw
3567,d,3,c,5,h,2,eight
3568,a,1,g,1,f,5,fifteen
3569,c,1,f,4,e,5,draw
3570,c,2,f,1,f,7,thirteen
3571,c,2,h,7,c,6,thirteen
3572,a,1,h,5,d,4,fourteen
3573,d,1,b,4,b,5,draw
3574,c,2,d,5,f,1,nine
3575,c,1,e,8,e,7,draw
3576,c,2,d,2,e,1,five
3577,d,2,c,8,b,2,ten
3578,c,3,h,6,f,2,twelve
3579,c,2,h,3,g,8,thirteen
3580,b,2,g,4,f,2,eleven
3581,d,1,a,4,d,4,fourteen
3582,c,2,f,7,h,1,nine
3583,d,3,g,2,b,3,seven
3584,d,3,e,1,b,4,eleven
3585,d,4,h,6,h,4,twelve
3586,d,4,g,6,g,5,draw
3587,d,3,b,3,b,1,three
3588,c,2,d,6,e,1,nine
3589,c,3,h,1,f,2,eleven
3590,c,2,g,1,h,2,draw
3591,d,3,b,6,g,4,twelve
3592,d,1,f,3,c,5,fourteen
3593,c,2,h,1,c,7,thirteen
3594,c,1,f,5,h,6,twelve
3595,c,3,g,1,h,3,nine
3596,d,4,f,4,a,1,six
3597,d,2,b,1,d,5,fourteen
3598,d,2,a,3,h,5,eleven
3599,c,1,b,1,e,2,thirteen
3600,c,2,c,4,g,8,twelve
3601,b,1,e,8,g,4,thirteen
3602,b,2,e,1,h,4,twelve
3603,d,4,e,1,h,3,ten
3604,c,3,c,4,d,1,nine
3605,d,2,h,8,g,7,draw
3606,c,2,b,1,a,5,six
3607,d,1,e,6,f,7,draw
3608,b,1,f,8,f,2,fifteen
3609,d,1,a,2,c,5,fourteen
3610,a,1,d,1,f,5,fifteen
3611,d,4,b,4,g,6,eleven
3612,a,1,h,2,e,3,sixteen
3613,d,3,f,7,a,1,five
3614,c,1,g,4,a,8,ten
3615,d,3,a,5,e,5,eleven
3616,c,3,e,5,e,2,ten
3617,c,1,a,7,f,5,fourteen
3618,b,1,g,7,d,8,eleven
3619,a,1,c,5,f,5,fifteen
3620,c,1,g,1,h,4,eight
3621,d,1,a,2,h,4,twelve
3622,c,2,f,8,e,3,fourteen
3623,d,2,e,2,e,8,eleven
3624,b,1,c,7,b,7,draw
3625,c,2,b,5,g,2,ten
3626,d,3,e,1,e,7,eleven
3627,c,1,h,3,b,8,twelve
3628,d,4,c,3,g,7,twelve
3629,d,3,e,6,h,8,eight
3630,d,3,d,8,f,7,twelve
3631,c,2,c,8,b,7,draw
3632,d,1,d,6,b,1,five
3633,b,2,d,7,e,3,fourteen
3634,d,3,b,3,e,6,twelve
3635,c,1,f,4,g,8,ten
3636,c,1,d,6,f,2,fifteen
3637,d,2,d,3,h,3,ten
3638,d,1,f,8,g,3,eleven
3639,c,1,g,7,e,5,fifteen
3640,d,3,b,3,d,6,thirteen
3641,d,3,d,7,f,2,eight
3642,c,3,e,4,e,3,draw
3643,d,1,f,4,e,7,fourteen
3644,d,3,f,3,g,6,ten
3645,c,2,b,7,f,3,fourteen
3646,c,3,g,1,f,2,draw
3647,c,1,g,1,f,8,fourteen
3648,c,3,f,1,f,6,thirteen
3649,d,2,g,4,a,5,eleven
3650,d,2,a,1,a,2,draw
3651,d,4,h,3,f,1,nine
3652,d,4,f,4,h,7,nine
3653,c,2,g,3,h,1,eight
3654,c,2,a,5,g,4,ten
3655,b,1,d,8,g,8,fourteen
3656,d,4,d,1,e,1,draw
3657,c,1,g,2,g,7,fourteen
3658,c,1,d,7,d,4,fifteen
3659,b,2,e,7,f,1,twelve
3660,c,1,b,4,e,2,eleven
3661,d,3,c,8,a,4,nine
3662,c,2,f,8,f,2,fourteen
3663,c,1,b,8,d,4,fourteen
3664,d,4,a,2,f,1,five
3665,b,2,h,1,e,2,twelve
3666,d,3,a,1,h,3,nine
3667,c,2,a,6,d,6,thirteen
3668,c,2,c,5,c,4,draw
3669,d,2,d,3,b,3,eleven
3670,c,1,a,4,d,6,fourteen
3671,c,1,e,6,b,8,thirteen
3672,d,4,g,3,h,5,seven
3673,d,1,b,2,c,4,fourteen
3674,d,3,b,6,a,6,draw
3675,c,1,c,6,f,3,fifteen
3676,c,2,g,5,e,5,fourteen
3677,c,2,a,7,b,5,thirteen
3678,c,2,d,5,g,8,twelve
3679,c,2,a,6,g,8,eleven
3680,a,1,g,3,g,7,sixteen
3681,b,2,d,2,g,5,fourteen
3682,d,2,a,2,d,4,fourteen
3683,d,1,d,5,h,6,twelve
3684,c,2,f,3,a,2,one
3685,c,1,d,2,c,3,eleven
3686,d,3,a,7,b,6,draw
3687,c,1,a,7,a,5,fourteen
3688,d,2,e,3,d,8,eleven
3689,c,1,e,5,f,6,draw
3690,b,2,e,1,e,4,thirteen
3691,c,3,e,5,g,5,ten
3692,d,2,h,1,f,4,thirteen
3693,c,1,d,7,a,2,eleven
3694,b,2,d,8,f,1,eleven
3695,c,1,f,4,e,3,draw
3696,b,1,b,5,g,8,thirteen
3697,b,1,b,4,f,7,fourteen
3698,c,1,b,2,c,3,fourteen
3699,c,3,b,6,c,1,two
3700,d,3,h,1,b,6,twelve
3701,c,1,a,2,e,8,fourteen
3702,d,3,e,8,c,5,eleven
3703,d,2,d,5,b,5,twelve
3704,c,3,a,3,h,4,twelve
3705,d,2,a,6,d,5,fourteen
3706,d,2,a,1,f,4,fourteen
3707,c,2,g,1,a,1,two
3708,d,1,e,7,d,7,draw
3709,d,1,a,6,c,6,fourteen
3710,d,1,f,5,d,3,fourteen
3711,c,1,b,8,c,4,fourteen
3712,d,2,c,8,d,6,fourteen
3713,d,4,g,8,e,2,ten
3714,d,1,b,3,h,8,twelve
3715,d,1,e,4,e,5,draw
3716,c,1,g,7,d,8,eleven
3717,b,1,c,4,h,1,nine
3718,c,2,h,4,h,2,nine
3719,d,2,d,1,f,2,thirteen
3720,b,1,a,1,g,8,thirteen
3721,b,1,c,8,f,1,ten
3722,d,1,b,7,a,4,nine
3723,c,1,a,8,a,2,eleven
3724,c,2,e,7,d,8,draw
3725,d,4,g,4,h,4,draw
3726,d,2,c,1,h,8,eleven
3727,d,3,h,5,g,4,draw
3728,b,1,f,7,h,4,thirteen
3729,d,3,d,6,e,6,draw
3730,c,2,g,2,h,6,eight
3731,d,4,h,5,h,3,eleven
3732,b,1,g,4,e,7,fourteen
3733,d,1,c,1,g,3,fourteen
3734,a,1,f,8,c,1,twelve
3735,c,2,b,2,a,3,six
3736,a,1,a,8,h,1,ten
3737,c,1,f,7,g,7,draw
3738,d,3,g,6,g,3,twelve
3739,d,3,h,3,a,3,seven
3740,b,1,a,8,a,6,thirteen
3741,c,3,d,4,f,2,ten
3742,d,3,b,2,d,7,twelve
3743,d,1,b,3,f,4,fourteen
3744,d,4,f,7,e,2,seven
3745,c,2,g,3,f,3,draw
3746,b,1,a,4,b,4,draw
3747,d,4,f,7,d,1,eight
3748,d,1,a,7,d,6,fourteen
3749,c,2,b,5,e,4,thirteen
3750,c,2,e,2,e,5,thirteen
3751,c,2,b,7,a,8,draw
3752,b,2,g,5,f,3,thirteen
3753,d,3,e,1,d,5,eleven
3754,d,3,b,7,h,7,eleven
3755,c,2,e,8,g,7,twelve
3756,d,3,e,7,a,4,ten
3757,b,1,h,1,a,4,twelve
3758,a,1,f,5,g,1,thirteen
3759,d,1,g,6,h,1,seven
3760,d,1,f,2,c,5,fifteen
3761,d,1,c,5,b,8,ten
3762,a,1,e,8,g,4,fourteen
3763,d,1,g,8,c,7,fourteen
3764,d,1,a,6,a,2,twelve
3765,d,3,c,7,f,2,eight
3766,b,1,f,4,a,7,eleven
3767,c,2,f,2,g,7,ten
3768,c,3,g,2,g,4,thirteen
3769,b,2,d,4,g,6,thirteen
3770,d,2,b,4,e,6,thirteen
3771,c,2,e,8,f,8,draw
3772,d,3,g,8,c,7,twelve
3773,c,3,h,1,h,7,eleven
3774,c,2,a,5,d,6,twelve
3775,d,4,c,6,e,2,ten
3776,b,1,a,5,f,8,thirteen
3777,b,1,d,1,e,5,fifteen
3778,d,2,e,6,f,6,draw
3779,c,1,e,7,d,8,draw
3780,d,2,h,7,f,7,thirteen
3781,c,1,h,5,a,7,thirteen
3782,b,1,h,8,c,5,fifteen
3783,a,1,c,1,f,5,fifteen
3784,d,1,f,3,c,4,fourteen
3785,d,1,d,7,b,7,thirteen
3786,d,3,e,3,a,6,eleven
3787,c,2,a,5,h,6,twelve
3788,c,2,c,7,a,2,two
3789,a,1,h,1,f,3,fifteen
3790,d,1,f,6,b,8,thirteen
3791,d,3,a,5,e,6,eleven
3792,c,1,g,3,f,2,draw
3793,b,1,d,8,c,6,twelve
3794,d,1,e,1,h,3,twelve
3795,c,2,e,3,a,3,nine
3796,b,1,g,8,f,3,fourteen
3797,b,1,e,2,h,4,thirteen
3798,c,2,e,4,g,8,eleven
3799,c,2,b,5,f,3,eleven
3800,c,2,d,6,c,5,draw
3801,d,3,f,1,d,8,twelve
3802,d,3,b,5,h,8,nine
3803,b,1,d,1,c,8,eleven
3804,c,1,c,7,b,6,draw
3805,d,2,h,7,d,5,thirteen
3806,c,2,b,6,d,5,fourteen
3807,b,2,f,4,g,5,draw
3808,b,2,a,5,h,7,thirteen
3809,d,1,h,4,h,7,thirteen
3810,d,2,f,7,h,5,ten
3811,d,1,h,5,c,7,thirteen
3812,c,2,f,2,b,6,twelve
3813,c,2,a,6,f,3,thirteen
3814,d,1,a,3,c,3,fourteen
3815,b,2,b,1,f,5,fourteen
3816,c,2,e,2,d,4,twelve
3817,b,2,g,8,f,1,twelve
3818,d,3,h,1,a,3,seven
3819,d,3,g,5,g,1,eight
3820,c,2,f,1,g,1,draw
3821,c,1,f,7,h,3,eleven
3822,d,1,a,5,d,6,thirteen
3823,d,3,e,7,d,6,draw
3824,c,2,f,1,a,4,twelve
3825,d,3,e,4,g,5,ten
3826,d,1,e,3,e,5,fourteen
3827,d,2,e,7,d,5,thirteen
3828,c,2,c,3,e,5,fourteen
3829,c,1,g,8,g,6,fifteen
3830,c,1,g,6,g,8,thirteen
3831,c,1,f,1,h,7,eleven
3832,c,2,c,4,f,1,eight
3833,d,1,e,2,e,7,thirteen
3834,d,2,f,7,c,5,fourteen
3835,d,3,h,8,c,5,twelve
3836,c,2,f,4,e,6,fourteen
3837,c,2,b,7,b,5,fourteen
3838,c,1,a,8,c,6,fourteen
3839,d,2,g,3,g,6,thirteen
3840,d,3,f,2,a,6,ten
3841,b,1,a,3,a,7,eleven
3842,d,3,g,6,h,3,seven
3843,b,2,g,6,f,1,twelve
3844,d,3,b,2,g,7,eleven
3845,c,1,f,2,f,1,draw
3846,d,2,c,4,e,5,thirteen
3847,c,2,e,7,f,6,draw
3848,c,1,a,6,a,7,draw
3849,c,2,g,7,a,5,twelve
3850,b,1,e,5,e,2,fifteen
3851,d,1,h,6,e,3,fourteen
3852,c,3,f,8,g,2,ten
3853,a,1,g,3,f,5,sixteen
3854,c,1,b,5,a,5,draw
3855,d,2,b,5,e,5,twelve
3856,c,1,h,7,d,3,fourteen
3857,d,2,b,8,h,8,twelve
3858,d,1,a,8,c,3,fourteen
3859,b,1,d,3,f,2,eight
3860,d,1,a,3,c,5,fourteen
3861,c,1,c,8,a,6,ten
3862,b,1,h,5,g,4,draw
3863,d,3,b,1,h,6,eleven
3864,b,1,c,5,b,4,draw
3865,c,3,g,4,e,3,ten
3866,c,3,b,3,e,1,eight
3867,d,4,a,3,c,1,eight
3868,d,2,a,8,f,6,thirteen
3869,d,2,h,5,h,8,eleven
3870,a,1,b,3,h,5,fifteen
3871,c,2,h,3,c,8,twelve
3872,a,1,g,3,f,1,eleven
3873,d,1,c,8,g,2,ten
3874,d,4,f,5,d,2,eight
3875,d,3,c,1,g,5,twelve
3876,c,2,a,8,e,2,ten
3877,d,3,f,2,g,2,draw
3878,c,3,g,5,d,1,nine
3879,d,1,f,7,c,3,fifteen
3880,c,2,c,4,b,8,seven
3881,d,2,b,3,c,4,draw
3882,d,4,h,3,h,5,twelve
3883,d,4,c,4,g,1,eight
3884,d,1,a,1,h,8,thirteen
3885,d,2,a,3,g,1,six
3886,b,1,f,1,e,5,fifteen
3887,d,4,c,2,f,1,five
3888,d,2,e,2,a,3,ten
3889,c,1,h,3,b,4,fourteen
3890,c,3,g,7,g,3,twelve
3891,c,3,a,3,g,3,twelve
3892,d,1,f,1,b,6,fourteen
3893,d,1,f,6,a,3,twelve
3894,c,2,f,8,f,7,draw
3895,d,2,d,1,c,6,twelve
3896,b,1,c,2,h,6,thirteen
3897,d,2,c,2,d,5,fourteen
3898,c,2,b,5,g,4,ten
3899,b,2,h,7,g,7,draw
3900,d,1,g,1,b,7,fourteen
3901,b,1,c,2,e,4,sixteen
3902,b,1,c,8,c,3,fifteen
3903,a,1,g,2,c,1,eight
3904,c,1,d,6,e,8,thirteen
3905,c,3,c,8,c,1,two
3906,d,3,d,8,b,5,ten
3907,d,3,b,3,g,5,twelve
3908,d,3,a,5,h,1,six
3909,b,2,h,7,h,5,fifteen
3910,c,1,b,5,f,2,twelve
3911,b,1,b,7,d,5,fifteen
3912,c,1,b,2,c,6,fifteen
3913,d,1,b,1,h,6,fourteen
3914,c,1,h,6,e,2,twelve
3915,c,2,c,5,d,7,thirteen
3916,c,3,g,5,g,4,draw
3917,d,3,e,4,b,3,five
3918,d,1,d,3,f,1,six
3919,d,2,d,6,g,5,thirteen
3920,d,1,c,4,g,7,fourteen
3921,d,2,b,1,f,3,thirteen
3922,c,1,a,8,a,1,zero
3923,c,1,f,7,d,4,fifteen
3924,a,1,f,5,c,1,twelve
3925,b,1,g,2,c,4,fifteen
3926,c,2,g,5,d,6,thirteen
3927,c,1,e,8,g,2,thirteen
3928,d,1,b,3,d,7,fourteen
3929,d,1,g,3,b,3,fourteen
3930,c,3,c,1,h,5,eleven
3931,d,2,b,3,h,8,eleven
3932,d,1,c,4,a,1,six
3933,d,3,d,1,e,8,eleven
3934,d,3,g,1,g,7,twelve
3935,b,1,g,7,e,7,sixteen
3936,a,1,f,5,e,5,draw
3937,a,1,b,1,d,3,fifteen
3938,d,1,h,2,b,7,thirteen
3939,c,2,h,8,h,4,twelve
3940,d,3,h,6,b,3,seven
3941,a,1,d,5,h,7,thirteen
3942,d,2,a,8,b,3,twelve
3943,d,2,e,1,f,3,twelve
3944,b,1,g,1,b,5,thirteen
3945,d,3,a,6,b,1,five
3946,b,1,b,4,b,8,twelve
3947,b,1,h,8,d,5,fifteen
3948,d,1,d,4,e,5,draw
3949,d,2,e,5,h,4,eight
3950,d,1,b,8,d,7,fifteen
3951,c,3,d,7,c,1,two
3952,c,2,a,5,d,8,twelve
3953,c,1,b,2,b,7,thirteen
3954,c,2,f,7,b,8,nine
3955,a,1,d,2,e,1,draw
3956,c,1,c,4,b,6,eleven
3957,c,1,h,7,a,2,eleven
3958,c,3,h,7,h,6,draw
3959,b,2,f,3,g,1,nine
3960,b,2,g,1,d,1,ten
3961,c,2,h,2,f,3,fourteen
3962,c,1,c,2,a,7,nine
3963,b,1,g,8,d,5,fifteen
3964,b,1,e,1,f,7,thirteen
3965,c,1,a,2,g,7,fourteen
3966,b,1,b,8,h,2,eleven
3967,d,3,b,2,a,3,draw
3968,d,4,e,6,f,1,eight
3969,b,2,h,4,g,2,eleven
3970,b,1,e,3,g,2,nine
3971,b,2,e,2,g,6,thirteen
3972,a,1,e,1,f,6,thirteen
3973,b,2,e,3,h,4,thirteen
3974,c,1,f,3,f,4,draw
3975,d,1,a,3,a,7,eleven
3976,d,1,f,5,d,7,fourteen
3977,d,4,d,1,g,5,eleven
3978,c,3,b,1,g,7,twelve
3979,d,2,f,4,d,8,thirteen
3980,d,3,a,8,d,5,twelve
3981,a,1,f,6,g,3,thirteen
3982,b,1,e,3,g,7,thirteen
3983,c,1,f,2,e,3,draw
3984,b,1,b,6,c,6,draw
3985,d,3,e,3,f,8,ten
3986,c,2,h,2,f,4,fourteen
3987,d,3,b,2,f,5,twelve
3988,b,2,h,4,g,5,draw
3989,d,1,g,5,f,7,fourteen
3990,d,2,e,6,h,8,ten
3991,d,1,g,8,a,3,twelve
3992,d,1,g,2,d,7,fourteen
3993,b,1,a,2,d,1,six
3994,c,3,a,2,h,2,nine
3995,d,3,h,2,d,5,twelve
3996,c,3,d,7,h,3,eleven
3997,c,2,c,1,a,6,eight
3998,c,1,g,8,e,3,fourteen
3999,d,1,f,3,h,4,eleven
4000,d,4,h,4,f,3,nine
4001,d,3,c,8,a,1,five
4002,b,1,a,4,g,2,ten
4003,c,2,b,6,g,2,ten
4004,b,1,f,2,e,1,draw
4005,c,1,d,3,d,6,fourteen
4006,d,2,e,8,b,1,four
4007,b,2,c,5,g,3,twelve
4008,b,1,c,2,f,1,six
4009,c,1,a,2,d,7,fourteen
4010,b,1,c,4,e,8,fourteen
4011,d,1,e,8,c,6,fourteen
4012,c,3,c,4,g,2,eight
4013,c,1,b,8,d,6,fifteen
4014,b,1,h,7,e,2,thirteen
4015,b,1,h,5,c,5,fourteen
4016,a,1,h,7,h,2,fourteen
4017,d,2,a,3,d,7,thirteen
4018,c,2,f,4,a,4,eleven
4019,c,1,a,5,h,3,ten
4020,d,2,g,7,g,1,eight
4021,c,3,e,6,h,1,eight
4022,c,2,b,1,f,4,fourteen
4023,d,3,a,4,d,5,twelve
4024,d,1,a,1,g,4,fourteen
4025,d,1,b,5,f,5,thirteen
4026,b,1,e,4,d,8,thirteen
4027,d,1,b,6,h,8,twelve
4028,a,1,a,6,h,1,ten
4029,c,1,d,3,h,6,thirteen
4030,c,2,c,7,c,6,draw
4031,c,1,f,2,a,3,eleven
4032,c,2,h,3,a,4,ten
4033,d,3,c,7,h,3,nine
4034,c,3,b,4,f,2,nine
4035,d,1,b,3,a,8,seven
4036,d,2,a,8,f,2,eight
4037,d,2,a,5,d,7,twelve
4038,c,2,h,7,d,6,thirteen
4039,b,1,a,2,e,1,seven
4040,c,3,b,7,h,1,nine
4041,b,2,d,2,f,6,fourteen
4042,d,4,d,6,f,3,eleven
4043,d,3,g,5,h,4,draw
4044,d,2,h,2,a,7,eleven
4045,c,1,b,3,c,7,fourteen
4046,a,1,e,4,d,3,draw
4047,d,1,a,1,g,8,thirteen
4048,d,3,f,4,f,7,twelve
4049,c,3,h,8,e,2,ten
4050,d,4,b,7,h,1,seven
4051,a,1,b,2,e,1,seven
4052,c,2,b,2,a,2,seven
4053,d,4,g,2,g,7,eleven
4054,c,3,h,6,f,4,thirteen
4055,d,1,c,7,f,5,fifteen
4056,d,1,f,7,h,5,eleven
4057,c,1,e,6,e,5,draw
4058,d,4,e,5,g,4,eleven
4059,c,3,g,1,g,7,twelve
4060,c,3,e,4,h,6,eleven
4061,d,1,a,3,d,5,fourteen
4062,d,1,g,6,h,3,eight
4063,d,2,a,1,f,7,thirteen
4064,c,2,d,6,a,2,two
4065,c,2,h,8,h,3,twelve
4066,d,2,d,6,h,3,ten
4067,c,3,e,4,h,8,eleven
4068,d,3,g,5,a,5,nine
4069,c,2,e,3,b,6,twelve
4070,d,1,d,8,d,3,fourteen
4071,d,1,f,8,a,3,twelve
4072,c,3,c,8,g,3,twelve
4073,d,1,c,3,f,7,fourteen
4074,c,1,h,5,f,4,thirteen
4075,c,3,c,4,e,1,nine
4076,b,1,e,5,h,3,thirteen
4077,b,1,f,4,e,4,draw
4078,d,1,d,7,d,3,fourteen
4079,b,1,h,6,e,3,fifteen
4080,b,1,c,1,g,7,fourteen
4081,d,3,h,2,c,6,twelve
4082,d,1,f,6,e,5,draw
4083,d,4,d,7,c,2,nine
4084,c,3,c,8,h,7,twelve
4085,c,3,g,7,g,6,draw
4086,d,2,e,4,h,2,six
4087,d,4,c,1,c,2,draw
4088,c,2,c,8,g,4,thirteen
4089,b,1,b,8,h,4,thirteen
4090,d,4,g,8,h,4,six
4091,d,2,c,1,f,1,six
4092,d,3,d,4,f,5,eleven
4093,d,2,f,6,f,3,fourteen
4094,d,1,h,7,b,5,fourteen
4095,d,1,a,7,f,8,ten
4096,d,2,g,8,f,2,thirteen
4097,c,1,e,4,c,4,fifteen
4098,d,2,a,8,d,5,fourteen
4099,b,1,a,7,b,5,fourteen
4100,d,4,e,6,h,7,eight
4101,d,4,a,2,d,2,six
4102,b,1,c,3,h,8,thirteen
4103,b,1,h,5,d,1,ten
4104,a,1,g,4,c,1,eleven
4105,c,1,d,6,b,3,thirteen
4106,d,3,e,6,c,1,five
4107,c,2,d,8,e,3,fourteen
4108,a,1,f,4,g,7,thirteen
4109,d,4,f,1,g,2,draw
4110,c,2,d,4,g,3,eight
4111,b,1,g,1,d,7,fourteen
4112,d,1,e,2,e,8,thirteen
4113,d,1,h,3,d,3,fourteen
4114,c,2,c,7,f,4,fourteen
4115,b,2,h,1,h,2,draw
4116,d,2,b,8,g,8,thirteen
4117,d,1,g,3,e,8,fourteen
4118,d,1,c,6,d,4,fifteen
4119,b,2,f,6,e,3,fifteen
4120,d,3,f,7,g,3,ten
4121,c,1,d,2,g,6,fourteen
4122,d,2,b,8,h,3,ten
4123,b,2,a,4,e,2,eleven
4124,c,3,e,4,f,5,draw
4125,d,3,f,5,a,2,six
4126,b,1,d,6,a,7,twelve
4127,d,2,g,4,f,3,draw
4128,d,3,c,3,e,8,twelve
4129,c,2,d,1,e,8,thirteen
4130,c,1,b,1,f,6,fifteen
4131,d,3,f,4,a,6,nine
4132,c,2,g,3,g,5,fourteen
4133,d,1,g,4,g,6,fifteen
4134,c,2,e,8,b,7,twelve
4135,d,4,d,1,g,3,ten
4136,d,1,g,5,c,3,thirteen
4137,d,4,a,4,h,3,nine
4138,d,2,d,4,h,2,six
4139,d,4,c,7,f,1,nine
4140,d,3,c,6,g,7,ten
4141,d,1,c,8,b,5,ten
4142,a,1,d,8,g,5,fifteen
4143,b,1,g,4,d,1,ten
